State,Year,Matured,Immature,Total
Johor,2023,624369,46493,670862
Kedah,2023,76502,9369,85871
Kelantan,2023,141322,17319,158641
Melaka,2023,47667,3416,51083
Negeri Sembilan,2023,168203,9263,177467
Pahang,2023,681200,64870,746070
Perak,2023,320499,28725,349224
Perlis,2023,865,16,881
Pulau Pinang,2023,8107,127,8234
Selangor,2023,95245,8903,104148
Terengganu,2023,143566,22836,166402
Sabah,2023,1316356,193669,1510025
Sarawak,2023,1506271,117390,1623661
Johor,2024,606130,53690,659820
Kedah,2024,77799,7727,85526
Kelantan,2024,140871,23034,163906
Melaka,2024,46871,3031,49902
Negeri Sembilan,2024,168021,11058,179079
Pahang,2024,661610,77817,739427
Perak,2024,320966,30460,351427
Perlis,2024,838,27,865
Pulau Pinang,2024,7627,121,7748
Selangor,2024,95575,7405,102980
Terengganu,2024,142396,21711,164107
Sabah,2024,1291591,192109,1483700
Sarawak,2024,1506228,118138,1624366
Johor,2025,615836,59722,675558
Kedah,2025,79319,8156,87475
Kelantan,2025,135876,26214,162090
Melaka,2025,45427,4057,49484
Negeri Sembilan,2025,168973,13545,182518
Pahang,2025,653601,91844,745445
Perak,2025,327816,36058,363873
Perlis,2025,759,168,927
Pulau Pinang,2025,8012,181,8193
Selangor,2025,96611,7744,104355
Terengganu,2025,143593,20124,163717
Sabah,2025,1267999,228559,1496558
Sarawak,2025,1499656,160200,1659857